Subject,Code,Event Type,Time,TTime,Condition,Decisions,Outcomes,Reaction Time,Stimuli_Order,High_Reward_Chosen,High_Loss_Chosen,m1_rp_all_fit_chosen_value,m2_rp_individual_fit_chosen_value,m3_rp_good_patients_chosen_value,correct decisions
LN_VTA_1,trial_36_los_12_f1_f2_acum_r3_l7_task_1_sess_4,Picture,[9856.12027022],[0],2,1,0,0.80945213,f1_f2,,1.0,,,,1
LN_VTA_1,trial_43_los_13_f2_f1_acum_r4_l7_task_1_sess_4,Picture,[9946.14550028],[0],2,2,-1,0.997232919,f2_f1,,1.0,,,,1
LN_VTA_1,trial_44_los_14_f1_f2_acum_r4_l8_task_1_sess_4,Picture,[9956.13347291],[0],2,2,0,2.449095524,f1_f2,,0.0,,,,2
LN_VTA_1,trial_48_los_15_f1_f2_acum_r4_l8_task_1_sess_4,Picture,[10007.40532608],[0],2,1,-1,1.262389143,f1_f2,,1.0,,,,1
LN_VTA_1,trial_51_los_16_f1_f2_acum_r4_l9_task_1_sess_4,Picture,[10051.18602065],[0],2,1,0,1.098668973,f1_f2,,1.0,,,,1
LN_VTA_1,trial_55_los_17_f1_f2_acum_r5_l9_task_1_sess_4,Picture,[10094.9502298],[0],2,2,-1,0.718038309,f1_f2,,0.0,,,,2
LN_VTA_1,trial_56_los_18_f2_f1_acum_r5_l10_task_1_sess_4,Picture,[10107.46847801],[0],2,1,0,1.167403338,f2_f1,,0.0,,,,2
LN_VTA_1,trial_57_los_19_f2_f1_acum_r5_l10_task_1_sess_4,Picture,[10129.95806026],[0],2,2,-1,0.809555142,f2_f1,,1.0,,,,1
LN_VTA_1,trial_59_los_20_f1_f2_acum_r5_l11_task_1_sess_4,Picture,[10151.21588892],[0],2,2,0,0.663834966,f1_f2,,0.0,,,,2
LN_VTA_2,trial_6_los_1_f2_f1_acum_r1_l0_task_1_sess_1,Picture,[8750.84154233],[0],2,1,-1,1.07217221,f2_f1,,0.0,,,,2
LN_VTA_2,trial_8_los_2_f1_f2_acum_r2_l1_task_1_sess_1,Picture,[8777.12438654],[0],2,2,0,1.414850895,f1_f2,,0.0,,,,2
LN_VTA_2,trial_9_los_3_f1_f2_acum_r2_l1_task_1_sess_1,Picture,[8789.64072289],[0],2,1,-1,1.0655282,f1_f2,,1.0,,,,1
LN_VTA_2,trial_10_los_4_f2_f1_acum_r2_l2_task_1_sess_1,Picture,[8802.17378766],[0],2,1,0,1.392741005,f2_f1,,0.0,,,,2
LN_VTA_2,trial_11_los_5_f1_f2_acum_r2_l2_task_1_sess_1,Picture,[8815.94019441],[0],2,1,0,1.406329693,f1_f2,,1.0,,,,1
LN_VTA_2,trial_14_los_6_f1_f2_acum_r3_l2_task_1_sess_1,Picture,[8848.45610351],[0],2,2,0,1.789567852,f1_f2,,0.0,,,,2
LN_VTA_2,trial_15_los_7_f1_f2_acum_r3_l2_task_1_sess_1,Picture,[8859.72257697],[0],2,1,0,1.349974589,f1_f2,,1.0,,,,1
LN_VTA_2,trial_21_los_8_f2_f1_acum_r5_l2_task_1_sess_1,Picture,[8941.10414434],[0],2,1,0,1.504673499,f2_f1,,0.0,,,,2
LN_VTA_2,trial_25_los_9_f2_f1_acum_r5_l2_task_1_sess_1,Picture,[8989.88640565],[0],2,2,-1,1.749459763,f2_f1,,1.0,,,,1
LN_VTA_2,trial_28_los_10_f2_f1_acum_r5_l3_task_1_sess_1,Picture,[9032.41884703],[0],2,1,0,2.017138572,f2_f1,,0.0,,,,2
LN_VTA_2,trial_30_los_11_f1_f2_acum_r6_l3_task_1_sess_1,Picture,[9056.18499341],[0],2,1,-1,1.32492984,f1_f2,,1.0,,,,1
LN_VTA_2,trial_32_los_12_f2_f1_acum_r6_l4_task_1_sess_1,Picture,[9077.45121334],[0],2,1,-1,1.696301227,f2_f1,,0.0,,,,2
LN_VTA_2,trial_36_los_13_f1_f2_acum_r7_l5_task_1_sess_1,Picture,[9125.00019348],[0],2,1,-1,2.873079998,f1_f2,,1.0,,,,1
LN_VTA_2,trial_37_los_14_f1_f2_acum_r7_l6_task_1_sess_1,Picture,[9141.26653619],[0],2,1,0,1.544814278,f1_f2,,1.0,,,,1
LN_VTA_2,trial_40_los_15_f2_f1_acum_r7_l6_task_1_sess_1,Picture,[9177.5490668],[0],2,2,0,1.548768032,f2_f1,,1.0,,,,1
LN_VTA_2,trial_44_los_16_f2_f1_acum_r8_l6_task_1_sess_1,Picture,[9232.61455281],[0],2,2,-1,1.161155713,f2_f1,,1.0,,,,1
LN_VTA_2,trial_50_los_17_f2_f1_acum_r8_l7_task_1_sess_1,Picture,[9316.42941686],[0],2,1,0,0.905698894,f2_f1,,0.0,,,,2
LN_VTA_2,trial_55_los_18_f2_f1_acum_r11_l7_task_1_sess_1,Picture,[9373.97818793],[0],2,2,-1,1.264283822,f2_f1,,1.0,,,,1
LN_VTA_2,trial_56_los_19_f1_f2_acum_r11_l8_task_1_sess_1,Picture,[9387.74453197],[0],2,2,-1,1.767235026,f1_f2,,0.0,,,,2
LN_VTA_2,trial_59_los_20_f1_f2_acum_r12_l9_task_1_sess_1,Picture,[9424.04378037],[0],2,2,0,1.106117324,f1_f2,,0.0,,,,2
LN_VTA_2,trial_2_los_1_f2_f1_acum_r0_l0_task_1_sess_2,Picture,[9620.50615081],[0],2,1,-1,1.486777171,f2_f1,,0.0,,,,2
LN_VTA_2,trial_3_los_2_f2_f1_acum_r0_l1_task_1_sess_2,Picture,[9631.77272349],[0],2,2,0,2.587698339,f2_f1,,1.0,,,,1
LN_VTA_2,trial_4_los_3_f1_f2_acum_r0_l1_task_1_sess_2,Picture,[9644.2889667],[0],2,1,-1,1.800455832,f1_f2,,1.0,,,,1
LN_VTA_2,trial_6_los_4_f1_f2_acum_r0_l2_task_1_sess_2,Picture,[9670.55509237],[0],2,2,0,1.508151351,f1_f2,,0.0,,,,2
LN_VTA_2,trial_7_los_5_f2_f1_acum_r0_l2_task_1_sess_2,Picture,[9684.32146263],[0],2,2,0,1.064848937,f2_f1,,1.0,,,,1
LN_VTA_2,trial_14_los_6_f2_f1_acum_r2_l2_task_1_sess_2,Picture,[9768.15304294],[0],2,2,-1,1.156330358,f2_f1,,1.0,,,,1
LN_VTA_2,trial_15_los_7_f2_f1_acum_r2_l3_task_1_sess_2,Picture,[9783.1693426],[0],2,1,0,0.498941953,f2_f1,,0.0,,,,2
LN_VTA_2,trial_17_los_8_f1_f2_acum_r2_l3_task_1_sess_2,Picture,[9806.9521737],[0],2,2,0,1.321677207,f1_f2,,0.0,,,,2
LN_VTA_2,trial_19_los_9_f1_f2_acum_r2_l3_task_1_sess_2,Picture,[9836.98492887],[0],2,1,-1,1.732623002,f1_f2,,1.0,,,,1
LN_VTA_2,trial_23_los_10_f1_f2_acum_r3_l4_task_1_sess_2,Picture,[9882.03404451],[0],2,1,-1,1.214637727,f1_f2,,1.0,,,,1
LN_VTA_2,trial_25_los_11_f2_f1_acum_r3_l5_task_1_sess_2,Picture,[9912.06664003],[0],2,2,-1,0.588192867,f2_f1,,1.0,,,,1
LN_VTA_2,trial_31_los_12_f1_f2_acum_r5_l6_task_1_sess_2,Picture,[9985.88168349],[0],2,2,-1,0.731207648,f1_f2,,0.0,,,,2
LN_VTA_2,trial_36_los_13_f1_f2_acum_r7_l7_task_1_sess_2,Picture,[10048.44697621],[0],2,2,-1,1.136821967,f1_f2,,0.0,,,,2
LN_VTA_2,trial_38_los_14_f2_f1_acum_r7_l8_task_1_sess_2,Picture,[10074.7298018],[0],2,1,0,0.863547503,f2_f1,,0.0,,,,2
LN_VTA_2,trial_39_los_15_f2_f1_acum_r7_l8_task_1_sess_2,Picture,[10089.74614289],[0],2,1,-1,0.79026232,f2_f1,,0.0,,,,2
LN_VTA_2,trial_41_los_17_f1_f2_acum_r7_l9_task_1_sess_2,Picture,[10111.02913268],[0],2,2,0,0.87258775,f1_f2,,0.0,,,,2
LN_VTA_2,trial_49_los_18_f2_f1_acum_r9_l9_task_1_sess_2,Picture,[10203.59382102],[0],2,2,-1,1.18859917,f2_f1,,1.0,,,,1
LN_VTA_2,trial_53_los_19_f1_f2_acum_r10_l10_task_1_sess_2,Picture,[10266.15901719],[0],2,1,-1,1.121265619,f1_f2,,1.0,,,,1
LN_VTA_2,trial_60_los_20_f2_f1_acum_r12_l11_task_1_sess_2,Picture,[10346.22395204],[0],2,2,-1,1.514673343,f2_f1,,1.0,,,,1
LN_VTA_2,trial_1_los_1_f2_f1_acum_r0_l0_task_1_sess_3,Picture,[11299.00361374],[0],2,2,-1,1.278061997,f2_f1,,1.0,,,,1
LN_VTA_2,trial_3_los_2_f2_f1_acum_r0_l1_task_1_sess_3,Picture,[11319.00308234],[0],2,2,-1,1.63830232,f2_f1,,1.0,,,,1
LN_VTA_2,trial_5_los_3_f1_f2_acum_r0_l2_task_1_sess_3,Picture,[11340.2693859],[0],2,2,0,1.341931761,f1_f2,,0.0,,,,2
LN_VTA_2,trial_6_los_4_f1_f2_acum_r0_l2_task_1_sess_3,Picture,[11350.26906166],[0],2,1,0,0.941763523,f1_f2,,1.0,,,,1
LN_VTA_2,trial_7_los_5_f2_f1_acum_r0_l2_task_1_sess_3,Picture,[11364.0355452],[0],2,1,0,1.361219876,f2_f1,,0.0,,,,2
LN_VTA_2,trial_9_los_6_f2_f1_acum_r1_l2_task_1_sess_3,Picture,[11385.30171876],[0],2,2,-1,2.374998242,f2_f1,,1.0,,,,1
LN_VTA_2,trial_20_los_7_f2_f1_acum_r5_l3_task_1_sess_3,Picture,[11529.23198384],[0],2,2,-1,1.506675939,f2_f1,,1.0,,,,1
LN_VTA_2,trial_30_los_10_f1_f2_acum_r5_l4_task_1_sess_3,Picture,[11655.61261043],[0],2,2,-1,1.501191467,f1_f2,,0.0,,,,2
LN_VTA_2,trial_31_los_11_f2_f1_acum_r5_l5_task_1_sess_3,Picture,[11666.87893565],[0],2,1,0,0.950475921,f2_f1,,0.0,,,,2
LN_VTA_2,trial_33_los_12_f1_f2_acum_r5_l5_task_1_sess_3,Picture,[11698.16161565],[0],2,2,0,0.554778012,f1_f2,,0.0,,,,2
LN_VTA_2,trial_43_los_14_f2_f1_acum_r5_l5_task_1_sess_3,Picture,[11843.30848403],[0],2,2,-1,0.441755731,f2_f1,,1.0,,,,1
LN_VTA_2,trial_48_los_16_f1_f2_acum_r6_l6_task_1_sess_3,Picture,[11900.87393259],[0],2,1,-1,1.301071997,f1_f2,,1.0,,,,1
LN_VTA_2,trial_49_los_17_f1_f2_acum_r6_l7_task_1_sess_3,Picture,[11912.14033422],[0],2,2,0,1.928591059,f1_f2,,0.0,,,,2
LN_VTA_2,trial_59_los_20_f2_f1_acum_r7_l7_task_1_sess_3,Picture,[12027.22117644],[0],2,1,-1,0.517426318,f2_f1,,0.0,,,,2
LN_VTA_3,trial_6_los_1_f2_f1_acum_r0_l0_task_1_sess_1,Picture,[2545.57972609],[0],2,1,-1,1.066739117,f2_f1,,0.0,,,,2
LN_VTA_3,trial_8_los_2_f1_f2_acum_r1_l1_task_1_sess_1,Picture,[2555.57705119],[0],2,2,0,0.760795872,f1_f2,,0.0,,,,2
LN_VTA_3,trial_9_los_3_f1_f2_acum_r1_l1_task_1_sess_1,Picture,[2560.57553223],[0],2,1,-1,0.62510287,f1_f2,,1.0,,,,1
LN_VTA_3,trial_10_los_4_f2_f1_acum_r1_l2_task_1_sess_1,Picture,[2565.57407448],[0],2,2,-1,0.604561207,f2_f1,,1.0,,,,1
LN_VTA_3,trial_11_los_5_f1_f2_acum_r1_l3_task_1_sess_1,Picture,[2570.57270034],[0],2,2,-1,0.548201825,f1_f2,,0.0,,,,2
LN_VTA_3,trial_14_los_6_f1_f2_acum_r1_l4_task_1_sess_1,Picture,[2585.585074],[0],2,1,-1,1.043525974,f1_f2,,1.0,,,,1
LN_VTA_3,trial_15_los_7_f1_f2_acum_r1_l5_task_1_sess_1,Picture,[2590.56701337],[0],2,2,0,0.528330503,f1_f2,,0.0,,,,2
LN_VTA_3,trial_21_los_8_f2_f1_acum_r3_l5_task_1_sess_1,Picture,[2620.57516162],[0],2,2,0,0.891951956,f2_f1,,1.0,,,,1
LN_VTA_3,trial_25_los_9_f2_f1_acum_r3_l5_task_1_sess_1,Picture,[2640.56953433],[0],2,1,0,0.897434801,f2_f1,,0.0,,,,2
LN_VTA_3,trial_28_los_10_f2_f1_acum_r3_l5_task_1_sess_1,Picture,[2655.58198476],[0],2,1,0,1.243293265,f2_f1,,0.0,,,,2
LN_VTA_3,trial_30_los_11_f1_f2_acum_r3_l5_task_1_sess_1,Picture,[2665.57902705],[0],2,2,0,0.583457537,f1_f2,,0.0,,,,2
LN_VTA_3,trial_36_los_13_f1_f2_acum_r5_l5_task_1_sess_1,Picture,[2695.58717682],[0],2,2,-1,0.485748746,f1_f2,,0.0,,,,2
LN_VTA_3,trial_37_los_14_f1_f2_acum_r5_l6_task_1_sess_1,Picture,[2700.56927889],[0],2,1,0,1.221303156,f1_f2,,1.0,,,,1
LN_VTA_3,trial_40_los_15_f2_f1_acum_r5_l6_task_1_sess_1,Picture,[2715.56482388],[0],2,1,-1,0.350322779,f2_f1,,0.0,,,,2
LN_VTA_3,trial_44_los_16_f2_f1_acum_r5_l7_task_1_sess_1,Picture,[2735.57584773],[0],2,2,-1,0.511892802,f2_f1,,1.0,,,,1
LN_VTA_3,trial_50_los_17_f2_f1_acum_r6_l8_task_1_sess_1,Picture,[2765.58398723],[0],2,1,0,0.650302138,f2_f1,,0.0,,,,2
LN_VTA_3,trial_55_los_18_f2_f1_acum_r9_l8_task_1_sess_1,Picture,[2790.560183],[0],2,1,0,0.871842299,f2_f1,,0.0,,,,2
LN_VTA_3,trial_56_los_19_f1_f2_acum_r9_l8_task_1_sess_1,Picture,[2795.57547446],[0],2,2,-1,0.387219657,f1_f2,,0.0,,,,2
LN_VTA_3,trial_59_los_20_f1_f2_acum_r9_l9_task_1_sess_1,Picture,[2810.57125513],[0],2,2,0,0.554084556,f1_f2,,0.0,,,,2
LN_VTA_3,trial_66_los_21_f2_f1_acum_r10_l9_task_1_sess_1,Picture,[2845.57789316],[0],2,1,-1,0.750826475,f2_f1,,0.0,,,,2
LN_VTA_3,trial_68_los_22_f1_f2_acum_r11_l10_task_1_sess_1,Picture,[2855.57506925],[0],2,2,0,0.586968322,f1_f2,,0.0,,,,2
LN_VTA_3,trial_69_los_23_f1_f2_acum_r11_l10_task_1_sess_1,Picture,[2860.57365216],[0],2,2,0,0.626838306,f1_f2,,0.0,,,,2
LN_VTA_3,trial_70_los_24_f2_f1_acum_r11_l10_task_1_sess_1,Picture,[2865.57220771],[0],2,2,-1,0.766015484,f2_f1,,1.0,,,,1
LN_VTA_3,trial_71_los_25_f1_f2_acum_r11_l11_task_1_sess_1,Picture,[2870.57080013],[0],2,1,0,0.588689694,f1_f2,,1.0,,,,1
LN_VTA_3,trial_74_los_26_f1_f2_acum_r11_l11_task_1_sess_1,Picture,[2885.56655837],[0],2,1,-1,0.619394424,f1_f2,,1.0,,,,1
LN_VTA_3,trial_75_los_27_f1_f2_acum_r11_l12_task_1_sess_1,Picture,[2890.58193383],[0],2,2,0,0.543888988,f1_f2,,0.0,,,,2
LN_VTA_3,trial_81_los_28_f2_f1_acum_r13_l12_task_1_sess_1,Picture,[2920.57330891],[0],2,1,0,0.645868613,f2_f1,,0.0,,,,2
LN_VTA_3,trial_85_los_29_f2_f1_acum_r13_l12_task_1_sess_1,Picture,[2940.56755618],[0],2,1,0,0.720094566,f2_f1,,0.0,,,,2
LN_VTA_3,trial_88_los_30_f2_f1_acum_r13_l12_task_1_sess_1,Picture,[2955.56338019],[0],2,1,0,1.479305339,f2_f1,,0.0,,,,2
LN_VTA_3,trial_90_los_31_f1_f2_acum_r14_l12_task_1_sess_1,Picture,[2965.57720362],[0],2,2,0,0.717098273,f1_f2,,0.0,,,,2
LN_VTA_3,trial_92_los_32_f2_f1_acum_r14_l12_task_1_sess_1,Picture,[2975.57431091],[0],2,1,-1,0.605277162,f2_f1,,0.0,,,,2
LN_VTA_3,trial_97_los_34_f1_f2_acum_r15_l13_task_1_sess_1,Picture,[3000.58390095],[0],2,2,0,0.426650413,f1_f2,,0.0,,,,2
LN_VTA_3,trial_100_los_35_f2_f1_acum_r16_l13_task_1_sess_1,Picture,[3015.57964209],[0],2,1,-1,0.530039901,f2_f1,,0.0,,,,2
LN_VTA_3,trial_104_los_36_f2_f1_acum_r17_l14_task_1_sess_1,Picture,[3035.57397146],[0],2,1,0,0.509862583,f2_f1,,0.0,,,,2
LN_VTA_3,trial_110_los_37_f2_f1_acum_r18_l14_task_1_sess_1,Picture,[3065.56545032],[0],2,1,0,0.896683114,f2_f1,,0.0,,,,2
